 
 Метод стрельб

 Itr  z(0)      y(1)      Delta
0.19375  1.31794  1.31794  2.46088  6.03550261990549E-07
0.20000  1.33345  1.33345  2.50133  6.03855589975666E-07
0.20625  1.34920  1.34920  2.53903  6.04144700933063E-07
0.21250  1.36518  1.36518  2.57388  6.04418049610089E-07
0.21875  1.38137  1.38137  2.60577  6.04675985060865E-07
0.22500  1.39775  1.39775  2.63462  6.04918784841146E-07
0.23125  1.41430  1.41430  2.66034  6.05146679433233E-07
0.23750  1.43100  1.43100  2.68287  6.0535986823318E-07
0.24375  1.44783  1.44783  2.70215  6.05558530653028E-07
0.25000  1.46477  1.46477  2.71814  6.05742835890766E-07
0.25625  1.48180  1.48180  2.73078  6.05912946038956E-07
0.26250  1.49890  1.49889  2.74005  6.0606902230198E-07
0.26875  1.51604  1.51604  2.74592  6.06211225884223E-07
0.27500  1.53321  1.53321  2.74839  6.06339721098692E-07
0.28125  1.55039  1.55039  2.74745  6.06454674922929E-07
0.28750  1.56755  1.56755  2.74309  6.06556260107638E-07
0.29375  1.58467  1.58467  2.73533  6.06644654066457E-07
0.30000  1.60173  1.60173  2.72418  6.06720040208231E-07
0.30625  1.61872  1.61871  2.70968  6.06782607048828E-07
0.31250  1.63560  1.63560  2.69185  6.06832549987502E-07
0.31875  1.65236  1.65236  2.67073  6.06870070640753E-07
0.32500  1.66897  1.66897  2.64637  6.06895376620287E-07
0.33125  1.68543  1.68543  2.61882  6.06908682199148E-07
0.33750  1.70170  1.70170  2.58814  6.06910208533762E-07
0.34375  1.71778  1.71777  2.55439  6.0690018321985E-07
0.35000  1.73363  1.73363  2.51764  6.06878840736513E-07
0.35625  1.74924  1.74924  2.47798  6.06846422224194E-07
0.36250  1.76460  1.76459  2.43547  6.06803175262627E-07
0.36875  1.77968  1.77968  2.39021  6.06749355203107E-07
0.37500  1.79447  1.79447  2.34229  6.06685224724401E-07
0.38125  1.80895  1.80895  2.29181  6.06611051834349E-07
0.38750  1.82311  1.82311  2.23886  6.06527114088706E-07
0.39375  1.83693  1.83693  2.18356  6.06433694816388E-07
0.40000  1.85040  1.85040  2.12600  6.06331085339917E-07
0.40625  1.86350  1.86350  2.06630  6.06219584087242E-07
0.41250  1.87622  1.87622  2.00459  6.06099497479917E-07
0.41875  1.88856  1.88855  1.94097  6.05971139711059E-07
0.42500  1.90048  1.90048  1.87557  6.05834832079211E-07
0.43125  1.91200  1.91200  1.80852  6.05690904098566E-07
0.43750  1.92309  1.92309  1.73994  6.05539693498969E-07
0.44375  1.93374  1.93374  1.66997  6.05381545781825E-07
0.45000  1.94396  1.94396  1.59874  6.05216814664189E-07
0.45625  1.95372  1.95372  1.52638  6.05045861634679E-07
0.46250  1.96304  1.96304  1.45303  6.0486905728574E-07
0.46875  1.97189  1.97189  1.37883  6.04686780203423E-07
0.47500  1.98027  1.98027  1.30392  6.0449941718943E-07
0.48125  1.98818  1.98818  1.22844  6.04307363705203E-07
0.48750  1.99562  1.99562  1.15253  6.04111024316012E-07
0.49375  2.00259  2.00259  1.07634  6.03910812024822E-07
0.50000  2.00908  2.00908  1.00000  6.03707147828203E-07
0.50625  2.01509  2.01509  0.92366  6.0350046249269E-07
0.51250  2.02062  2.02062  0.84747  6.03291195222511E-07
0.51875  2.02568  2.02568  0.77156  6.03079795435946E-07
0.52500  2.03027  2.03027  0.69608  6.02866719656703E-07
0.53125  2.03439  2.03439  0.62117  6.02652434178452E-07
0.53750  2.03804  2.03804  0.54697  6.02437414620738E-07
0.54375  2.04122  2.04122  0.47362  6.02222147261244E-07
0.55000  2.04396  2.04396  0.40126  6.02007125038995E-07
0.55625  2.04624  2.04624  0.33003  6.01792851995242E-07
0.56250  2.04809  2.04809  0.26006  6.01579840608935E-07
0.56875  2.04950  2.04950  0.19148  6.01368613573072E-07
0.57500  2.05048  2.05048  0.12443  6.01159702906529E-07
0.58125  2.05106  2.05105  0.05903  6.00953649065872E-07
0.58750  2.05122  2.05122  -0.00459  6.00751004498079E-07
0.59375  2.05100  2.05100  -0.06630  6.00552329199644E-07
0.60000  2.05040  2.05040  -0.12600  6.0035819426929E-07
0.60625  2.04943  2.04943  -0.18356  6.00169179243437E-07
0.61250  2.04811  2.04811  -0.23886  5.99985874760733E-07
0.61875  2.04645  2.04645  -0.29181  5.99808881229791E-07
0.62500  2.04447  2.04447  -0.34229  5.99638807941005E-07
0.63125  2.04218  2.04218  -0.39021  5.99476274398825E-07
0.63750  2.03960  2.03959  -0.43547  5.99321912542194E-07
0.64375  2.03674  2.03674  -0.47798  5.99176361415488E-07
0.65000  2.03363  2.03363  -0.51764  5.99040272053486E-07
0.65625  2.03028  2.03027  -0.55439  5.98914304816844E-07
0.66250  2.02670  2.02670  -0.58814  5.98799131612537E-07
0.66875  2.02293  2.02293  -0.61882  5.98695433673413E-07
0.67500  2.01897  2.01897  -0.64637  5.98603903334549E-07
0.68125  2.01486  2.01486  -0.67073  5.98525242700987E-07
0.68750  2.01060  2.01060  -0.69185  5.98460166312265E-07
